    0  162.7863 56.1218    5194     0  2808  2386  
    1  163.2778 56.8278    4918   276  3032  1886  
    2  162.8626 56.9358    4857    61  2922  1935  
    3  162.8781 56.1153    5050   193  2909  2141  
    4  163.0275 56.2469    5106    56  2983  2123  
    5  162.7728 56.9979    4753   353  2921  1832  
    6  162.3053 55.8142    5013   260  3041  1972  
    7  162.2101 56.0912    4948    65  2958  1990  
    8  163.1851 56.3216    4833   115  3012  1821  
    9  162.1127 56.4506    4911    78  2986  1925  
   10  161.6789 56.7039    5280   369  2945  2335  
   11  163.3384 56.8638    4946   334  2997  1949  
   12  163.1625 56.3340    5074   128  2878  2196  
   13  162.9475 55.9137    4724   350  2847  1877  
   14  162.1116 56.2571    4764    40  2843  1921  
   15  162.5194 55.9929    5228   464  2918  2310  
   16  162.3259 56.2426    5148    80  3082  2066  
   17  161.8670 55.8662    4736   412  3020  1716  
   18  162.0353 55.7368    4548   188  2927  1621  
   19  162.9510 55.3727    5146   598  3058  2088  
   20  162.9389 56.5757    4848   298  2898  1950  
   21  162.7215 56.2838    4918    70  2897  2021  
   22  162.9255 56.0603    5209   291  2877  2332  
   23  161.8300 55.7901    5372   163  2975  2397  
   24  162.5600 55.8611    5538   166  3039  2499  
   25  162.9758 56.3940    4959   579  2871  2088  
   26  161.9149 55.5369    4775   184  2939  1836  
   27  162.6132 56.6138    4768     7  2934  1834  
   28  162.9521 55.8206    5321   553  3083  2238  
   29  162.5253 55.9263    5086   235  3141  1945  
   30  163.4947 55.9951    5020    66  2855  2165  
   31  162.6145 56.2548    4851   169  2914  1937  
   32  161.5198 56.3969    5113   262  3107  2006  
   33  163.0623 55.5872    4769   344  2882  1887  
   34  162.5892 55.9777    5005   236  2973  2032  
   35  162.4145 56.1156    5175   170  2962  2213  
   36  162.4067 56.5380    5052   123  2750  2302  
   37  161.9993 56.0041    4727   325  2761  1966  
   38  162.5013 55.5414    4697    30  3128  1569  
   39  162.9152 55.9446    5256   559  2979  2277  
   40  162.6760 55.7546    4768   488  2990  1778  
   41  162.2223 56.2038    4941   173  3084  1857  
   42  163.0811 55.9742    5095   154  2926  2169  
   43  162.7006 55.0861    4644   451  3013  1631  
   44  162.5656 56.0545    5221   577  3099  2122  
   45  162.9549 55.4238    4877   344  2896  1981  
   46  162.1318 56.1289    4893    16  2863  2030  
   47  163.0002 56.5006    4832    61  3119  1713  
   48  163.4013 56.4902    4713   119  3035  1678  
   49  162.9954 56.4954    4929   216  2967  1962  
   50  163.6581 56.2005    4640   289  2929  1711  
   51  163.3271 56.2362    4750   110  2862  1888  
   52  162.5986 56.4514    4597   153  3044  1553  
   53  162.5638 55.2581    4969   372  2962  2007  
   54  162.9000 56.6375    5125   156  2994  2131  
   55  161.9936 56.4945    5109    16  2926  2183  
   56  162.4956 56.1977    4989   120  2980  2009  
   57  163.0935 55.7766    4845   144  2944  1901  
   58  162.2945 56.5259    5263   418  3031  2232  
   59  162.7474 56.2396    4905   358  3018  1887  
   60  162.9707 56.3101    4918    13  2984  1934  
   61  163.0583 55.8297    5060   142  3146  1914  
   62  162.0310 56.1787    4835   225  3016  1819  
   63  163.4014 55.4906    4968   133  2896  2072  
   64  162.1775 55.8954    4745   223  3078  1667  
   65  162.2797 55.8124    4886   141  3072  1814  
   66  161.8949 56.1860    4634   252  2923  1711  
   67  162.8028 55.6736    4793   159  2992  1801  
   68  162.5116 55.5004    4897   104  3134  1763  
   69  162.3771 57.1562    4945    48  2977  1968  
   70  161.5787 55.5730    5175   230  3042  2133  
   71  163.4332 55.6504    4920   255  2892  2028  
   72  162.2905 54.8530    4780   140  2948  1832  
   73  162.0592 55.8096    4891   111  2840  2051  
   74  162.8560 56.5611    4768   123  2903  1865  
   75  162.0998 55.5520    4410   358  2875  1535  
   76  161.8679 55.3008    5152   742  2978  2174  
   77  161.7587 56.4213    4837   315  2703  2134  
   78  162.5307 55.8561    4991   154  3036  1955  
   79  162.0923 56.4856    4683   308  3028  1655  
   80  162.2947 55.5430    4611    72  3033  1578  
   81  162.8649 55.6118    4692    81  2842  1850  
   82  162.4969 55.7074    4833   141  2890  1943  
   83  162.2572 56.4355    4839     6  2983  1856  
   84  162.3590 54.8939    4620   219  2946  1674  
   85  161.5092 54.5107    4874   254  3034  1840  
   86  162.3893 55.3548    4649   225  2791  1858  
   87  161.7835 56.6410    4668    19  2977  1691  
   88  163.1055 55.4806    4710    42  2800  1910  
   89  162.5406 56.3729    4347   363  2996  1351  
   90  161.6582 55.7316    4373    26  2921  1452  
   91  162.2754 55.6591    4772   399  2957  1815  
   92  162.7469 56.4196    4961   189  2737  2224  
   93  161.4067 55.5162    5086   125  3063  2023  
   94  162.3683 56.2645    4548   538  3009  1539  
   95  162.0340 56.2934    4780   232  2960  1820  
   96  162.0515 56.1337    4654   126  2888  1766  
   97  162.2455 55.4360    5002   348  2981  2021  
   98  162.0341 55.4135    5063    61  3007  2056  
   99  161.5259 55.4136    4907   156  2916  1991  
  100  161.4062 55.4026    4740   167  2912  1828  
  101  163.0039 55.4987    4659    81  2958  1701  
  102  162.8282 56.3376    4600    59  2914  1686  
  103  162.5146 55.9138    5017   417  3074  1943  
  104  161.7274 56.0730    4883   134  2860  2023  
  105  162.4545 55.9530    5331   448  2945  2386  
  106  161.9105 55.7906    5036   295  2954  2082  
  107  161.8083 56.0601    5110    74  3006  2104  
  108  162.1034 55.8955    5281   171  2844  2437  
  109  162.2520 56.4477    4766   515  3023  1743  
  110  162.9850 56.1739    4743    23  2947  1796  
  111  162.6344 56.1608    4821    78  2998  1823  
  112  161.9941 56.5010    4933   112  2984  1949  
  113  162.5846 56.4090    4562   371  2778  1784  
  114  162.1673 56.1064    4598    36  3059  1539  
  115  161.8372 55.6388    4682    84  2949  1733  
  116  161.4996 55.4906    4697    15  2733  1964  
  117  161.1680 55.2064    4946   249  2908  2038  
  118  161.7030 55.5007    4745   201  2937  1808  
  119  161.5080 55.4950    4714    31  2765  1949  
  120  162.4198 55.5871    4542   172  2966  1576  
  121  162.8751 55.7654    4689   147  2854  1835  
  122  162.2547 56.1895    4896   207  3012  1884  
  123  161.6074 55.3409    4861    35  2901  1960  
  124  162.7611 56.4464    5094   233  2925  2169  
  125  162.2305 55.4359    4953   141  3013  1940  
  126  161.4902 55.4980    4703   250  2748  1955  
  127  162.6626 55.7582    4686    17  2683  2003  
  128  163.0012 55.3199    4874   188  2863  2011  
  129  161.3100 55.3596    4889    15  2977  1912  
  130  162.7664 56.0000    4710   179  2992  1718  
  131  162.0449 54.5780    4580   130  2876  1704  
  132  162.0370 55.5414    4331   249  2914  1417  
  133  162.6779 55.5897    4457   126  2793  1664  
  134  161.1221 54.5040    4423    34  2862  1561  
  135  162.2143 56.0867    4834   411  2951  1883  
  136  162.9381 55.4115    4573   261  2884  1689  
  137  162.6389 55.6376    4260   313  2817  1443  
  138  162.4265 55.9046    4368   108  2874  1494  
  139  161.7802 54.4512    4676   308  2786  1890  
  140  162.4429 55.7392    4208   468  2805  1403  
  141  162.7935 56.2393    4209     1  2788  1421  
  142  162.1637 55.4957    4631   422  2815  1816  
  143  163.1810 56.6154    4158   473  2768  1390  
  144  162.9916 56.3420    4602   444  2948  1654  
  145  161.4535 54.7168    4770   168  2737  2033  
  146  161.7276 54.5003    4245   525  2893  1352  
  147  161.6033 55.2681    4591   346  2965  1626  
  148  162.3759 54.1157    4670    79  2770  1900  
  149  163.1763 55.8168    4477   193  2971  1506  
  150  161.7625 55.5187    4259   218  2753  1506  
  151  161.9294 55.1584    4529   270  2864  1665  
  152  161.4990 56.8047    4469    60  3011  1458  
  153  163.0428 56.2338    4145   324  2532  1613  
  154  162.3211 55.1207    4364   219  3016  1348  
  155  161.8106 54.6903    4363     1  3012  1351  
  156  161.8612 57.0711    4286    77  3010  1276  
  157  163.0892 54.9001    4436   150  2925  1511  
  158  161.5008 55.8035    4220   216  2820  1400  
  159  162.6677 55.6644    4257    37  2734  1523  
  160  161.6778 56.2659    4245    12  2968  1277  
  161  162.4023 54.5455    4072   173  3054  1018  
  162  161.2326 55.0472    4446   374  2959  1487  
  163  162.3754 55.8638    4655   209  2768  1887  
  164  162.9635 55.8028    4303   352  2748  1555  
  165  161.2951 54.5174    4723   420  2733  1990  
  166  162.3247 55.1260    4598   125  3012  1586  
  167  163.2632 55.8528    4140   458  2816  1324  
  168  161.4997 54.7737    4149     9  2887  1262  
  169  162.1676 54.2741    4080    69  3014  1066  
  170  162.2024 54.3992    4171    91  2922  1249  
  171  163.2677 55.4984    4302   131  2902  1400  
  172  162.5306 55.3524    3876   426  2843  1033  
  173  163.0811 55.6023    4072   196  2811  1261  
  174  162.1791 54.8916    4222   150  2703  1519  
  175  163.5680 55.8527    4104   118  2813  1291  
  176  161.3456 55.7409    4177    73  2865  1312  
  177  162.8375 55.1061    4371   194  2927  1444  
  178  162.7977 54.7626    4359    12  2793  1566  
  179  162.2793 55.1171    4200   159  2725  1475  
  180  162.1266 55.3304    3907   293  2755  1152  
  181  162.0363 56.3058    4456   549  2822  1634  
  182  162.0635 55.8299    4540    84  2928  1612  
  183  162.8503 55.6525    4749   209  2832  1917  
  184  162.5782 55.5735    4533   216  2833  1700  
  185  162.5062 56.5064    4507    26  2901  1606  
  186  162.6679 55.1671    4246   261  2857  1389  
  187  162.3702 55.3728    4488   242  2924  1564  
  188  161.8759 56.0831    4125   363  2745  1380  
  189  162.7123 55.4265    4334   209  2850  1484  
  190  160.1644 57.0011    3895   439  2822  1073  
  191  162.2269 56.6880    4194   299  2862  1332  
  192  161.8016 57.1993    4155    39  2753  1402  
  193  161.8026 55.0018    3776   379  2877   899  
  194  162.1309 56.3013    4081   305  2843  1238  
  195  162.5866 55.4422    3932   149  2756  1176  
  196  162.8631 55.9993    4168   236  3056  1112  
  197  161.9523 55.7602    4010   158  2948  1062  
  198  162.4979 56.1647    4171   161  2881  1290  
  199  161.8005 55.2004    3936   235  2876  1060  
  200  162.4030 56.2014    3916    20  3075   841  
  201  161.6001 57.2009    3647   269  2981   666  
  202  162.7999 56.3996    3922   275  2878  1044  
  203  162.7029 54.7704    4099   177  2857  1242  
  204  162.6337 55.3672    4244   145  2716  1528  
  205  160.6646 55.8760    3898   346  2587  1311  
  206  162.2003 54.9996    3911    13  2959   952  
  207  162.3987 55.1976    4027   116  2752  1275  
  208  161.3836 55.3850    3885   142  2929   956  
  209  163.4085 55.8821    3966    81  2983   983  
  210  162.1552 54.5403    3929    37  2932   997  
  211  162.5986 55.7978    4009    80  2962  1047  
  212  162.6011 55.2011    4286   277  2916  1370  
  213  161.5994 54.8006    4204    82  2781  1423  
  214  162.4935 56.5017    3983   221  2684  1299  
  215  162.9995 56.8564    4124   141  2821  1303  
  216  169.8011 57.6007    3839   285  3023   816  
  217  162.0031 54.6453    4140   301  2897  1243  
  218  163.8882 56.1919    3955   185  2782  1173  
  219  162.9966 55.9919    4079   124  2876  1203  
  220  164.1982 55.4000    3842   237  2847   995  
  221  163.9992 55.9987    4000   158  3013   987  
  222  162.4000 57.1990    4064    64  2944  1120  
  223  161.7980 53.4009    3755   309  2684  1071  
  224  162.3982 55.7999    3828    73  2903   925  
  225  162.7040 56.4136    4209   381  2894  1315  
  226  162.2283 55.2298    4157    52  2860  1297  
  227  163.0019 54.5069    4318   161  2979  1339  
  228  164.2005 54.6007    4219    99  2924  1295  
  229  163.0911 56.0837    4142    77  2951  1191  
  230  162.8817 56.4097    4010   132  2681  1329  
  231  162.5004 55.2811    3896   114  2926   970  
  232  162.9985 54.9976    3904     8  2856  1048  
  233  162.3355 56.0849    4253   349  2866  1387  
  234  163.0000 56.9991    3927   326  2940   987  
  235  162.4352 56.0869    4110   183  2946  1164  
  236  162.9659 56.6044    4307   197  2833  1474  
  237  160.8832 56.5912    4052   255  2859  1193  
  238  162.8149 56.9113    3825   227  2768  1057  
  239  162.8187 55.6134    4275   450  2851  1424  
  240  162.9999 55.9987    3882   393  2924   958  
  241  160.9938 54.6657    3843    39  2746  1097  
  242  161.4042 54.8740    3928    85  2859  1069  
  243  162.9978 55.1217    4058   130  2730  1328  
  244  161.8521 55.0018    4053     5  2878  1175  
  245  163.8967 56.5781    4136    83  2755  1381  
  246  161.1163 54.5908    4025   111  2761  1264  
  247  161.1090 54.1130    4038    13  2781  1257  
  248  160.9999 53.8912    4013    25  2635  1378  
  249  163.2783 56.1104    4127   114  2854  1273  
  250  163.0026 56.0000    3937   190  2900  1037  
  251  162.8572 56.1461    4030    93  2805  1225  
  252  163.7209 54.8900    4166   136  2879  1287  
  253  163.6175 55.3862    3916   250  2849  1067  
  254  163.1997 56.4002    3790   126  2813   977  
  255  163.1986 55.3995    4219   429  2916  1303  
  256  163.4003 56.2021    3780   439  2891   889  
  257  164.5995 54.2017    4065   285  2816  1249  
  258  162.3780 55.4236    4044    21  2795  1249  
  259  162.2471 56.3312    4081    37  2838  1243  
  260  162.2398 55.7974    4093    12  2764  1329  
  261  164.2303 55.1550    4068    25  2821  1247  
  262  162.7993 55.5994    3800   268  2797  1003  
  263  162.0018 55.9993    4086   286  2776  1310  
  264  163.5984 56.2006    3832   254  2899   933  
  265  162.7974 55.4982    4213   381  2831  1382  
  266  161.7022 56.7998    4070   143  2572  1498  
  267  162.5995 54.7982    3635   435  2555  1080  
  268  161.8186 55.4554    4021   386  2711  1310  
  269  164.2913 55.2975    3661   360  2760   901  
  270  163.8005 55.3999    3563    98  2904   659  
  271  161.8002 55.6007    3876   313  2835  1041  
  272  164.3996 56.2001    3451   425  2820   631  
  273  163.1228 55.5870    3692   241  2803   889  
  274  162.1707 54.0871    3534   158  2692   842  
